"coefficient","Author"
0,"Ina Schermer-Vermeer"
0,"Jacob Samuel Speyer"
0,"Fred Batten"
0,"J.H. Groenewegen"
0,"Leo Ross"
0,"Maria Gerarda"
0,"M. Hanot"
0,"L. Strengholt"
0,"H.M. Eliassen-de Kat"
0,"Alfred M.M. Dekker"
0,"Jacob Hendrik Hora Siccama"
0,"N.J. den Tex"
0,"S.G. de Vries"
0,"Fred Polak"
0,"W.Gs Hellinga"
0,"Antonie de Vletter"
0,"Paul Goodman"
0,"P.W.A. Cort van der Linden"
0,"Foeke Buitenrust Hettema"
0,"Michiel Johannes de Goeje"
0,"D.E.W. Wolff"
0,"Wiecher Zwanenburg"
0,"Annelies van Hees"
0,"Herman Servotte"
0,"Piet van Os"
0,"P. Goedertier"
0,"Ton Naaijkens"
0,"B.P. Visser"
0,"H. Bonger"
0,"Hieronymus van Alphen"
0,"J.A. van Praag"
0,"P.E. van Renesse"
0,"Rita Ghesquiere"
0,"Jan P.M.L. de Vries"
0,"C.F.A. van Dam"
0,"R.A.D. Cort van der Linden"
0,"Simon Gorter"
0,"Henk Kuitenbrouwer"
0,"Allard Pierson"
0,"Frits Kief"
0,"Jean-Pierre van Rossem"
0,"Guillaume van der Graft"
0,"Hanneke Mulder"
0,"N. de Paepe"
0,"E. Nuijtens"
0,"Floris Prims"
0,"K.H. Heeroma"
0,"Theun de Vries"
0,"Arie Zijderveld"
0,"Fokke Sierksma"
0,"Marnix Gijsen"
0,"C.A.E. Wichmann"
0,"Hans Anten"
0,"P.J. Nienaber"
0,"W.M. Ebbink"
0,"Wim Zonneveld"
0,"L. van der Essen"
0,"K. Kooiman"
0,"S.A. Vosters"
0,"Elisabeth Leijnse"
0,"J.L. Pauwels"
0,"Herman de Liagre Böhl"
0,"Ton van Strien"
0,"Ivo Schöffer"
0,"M.E. Kronenberg"
0,"Bert Kooijman"
0,"J.J. van Geuns"
0,"Andrzej Dabrówka"
0,"Paul de Wispelaere"
0,"Arie Schippers"
0,"G. van Benthem van den Bergh"
0,"Antony Winkler Prins"
