"coefficient","Author"
-0.425122911140635,"Th.W. Engelmann"
-0.425122909742962,"Nicolaas Dirk Doedes"
-0.424081095822696,"Pol de Mont"
-0.42394296389949,"Gerard Valette"
-0.423323118298273,"C.H. den Hertog"
-0.421884439543357,"H. Heukels"
-0.421812552655989,"V.A. Julius"
-0.421812552531593,"Frederike J. van Uildriks"
-0.421812552407197,"L. Serrurier"
-0.421812552282801,"Jan Marcus Hoogvliet"
-0.421225037515978,"Pierre Daniel Chantepie de la Saussaye"
-0.421155525273739,"Samuel Kalff"
-0.419832102889105,"A. Bruining"
-0.419499391174886,"Pieter Gerard van Schermbeek"
-0.41925143250517,"Joh. Dyserinck"
-0.418915121772959,"A.J. Immink"
-0.418520093460302,"H. Zwaardemaker"
-0.418520087356562,"Jacob Gerard Patijn"
-0.418520087232371,"Henri Borel"
-0.418334011514231,"G.J. Boekenoogen"
-0.417435802073249,"G.W. Bruinsma"
-0.417418500639467,"A.G. van Hamel"
-0.417147457978723,"Henricus Oort"
-0.417106056221969,"C. Winkler"
-0.415636442010672,"Jan Frederik Niermeyer"
-0.41538798930366,"B.D. Eerdmans"
-0.415316880753388,"H.A. Kooyker"
-0.415281339881092,"Hendrik Doeff"
-0.415281339504393,"G.J. Kolff"
-0.415281335444272,"W.Ph. Scheuer"
-0.415281331789284,"O.M. de Munnick"
-0.415245801132955,"H.W.Ph.E. van den Bergh van Eysinga"
-0.415245793417118,"Ida Heijermans"
-0.41524579304091,"L.J. Plemp van Duiveland"
-0.412095117268489,"G.P. Rouffaer"
-0.412059765574912,"H.L. Drucker"
-0.411093648548557,"François de Bas"
-0.410933564768288,"Marie Snijder van Wissenkerke"
-0.410345646284473,"N.J. Singels"
-0.410033229529846,"Gerard Heymans"
-0.409354446092855,"A.A.W. Hubrecht"
-0.409313379247684,"L.S. Meijer"
-0.408820501743248,"Nellie van Kol"
-0.408750396657559,"D.E. Siegenbeek van Heukelom"
-0.408750396533697,"Hendrik Johan Haverman"
-0.408750396409837,"G.H. Marius"
-0.408073523260915,"P.J. Blok"
