"coefficient","Author"
-1.41732237931428,"A.G. van Kranendonk"
-1.41732130922923,"F.J. Kruitwagen"
-1.41315694409688,"J. van Oudshoorn"
-1.41287741436275,"W.W. van der Meulen"
-1.40853998289004,"Joseph Laenen"
-1.4085013772859,"J. Kooistra"
-1.40847618663705,"Nelly M. Burgers"
-1.40845991901697,"H.A. Lorentz"
-1.40844235335959,"W.M. Ebbink"
-1.40844234574693,"Valborg Isaachsen-Dudok van Heel"
-1.40843377374025,"Johannes van der Elst"
-1.40416617994148,"Johan Christiaan van Eerde"
-1.40200653020139,"R. Foncke"
-1.39971605644049,"E.D. van Nuffel"
-1.39968235459788,"M.R. Pauwels"
-1.39968234626914,"Evermar van Moere"
-1.39968233794052,"René Gaspar"
-1.39963595058721,"P.C.J.A. Boeles"
-1.39958431881394,"W. Boschman"
-1.39957575297197,"Erik Wellander"
-1.39957574553434,"F. den Eerzamen"
-1.39957573809682,"Frank Baur"
-1.3963684856063,"M.R. Dijkman"
-1.39590822034276,"Johannes Tielrooy"
-1.39521142732642,"Karel Wasch"
-1.39450050573615,"J.C.J. Kleijntjens"
-1.39084621388276,"Jos. de Klerk"
-1.39084620577316,"P. Berthold"
-1.39084619766368,"Adolf de Ceuleneer"
-1.39079980175049,"J.P. Fockema Andreae"
-1.39078207712059,"Dorothée Buys"
-1.3907662451375,"E.F. Kossmann"
-1.39076621479126,"F. Adama van Scheltema"
-1.39076620762968,"D.Th. Jaarsma"
-1.39074840220525,"F.H. Fischer"
-1.39074839498879,"M.H. Werkman"
-1.3854162547027,"Annie Salomons"
-1.38206638422742,"Jozef Jacobs"
-1.38203285225944,"Semper Jejunus"
-1.38203284436087,"Berthold Missiaen"
-1.38203281686161,"Joseph Coppens"
-1.38195227660517,"J.M. Bottemanne"
-1.38195203899707,"W. Kuenen"
-1.38193480635249,"Willem Johannes Steenhoff"
-1.38193477653831,"Johan Tersteeg"
-1.3819347695171,"J.C. Bruijn"
-1.38193476734611,"M.H.J. Schoenmaekers"
-1.38193408897855,"Willem Vogelsang"
-1.38034364046887,"D. Haagman"
-1.37948133183586,"D.C. Tinbergen"
-1.37706944543483,"Rommert Casimir"
-1.37628660673043,"Ernest Claes"
-1.37334188240679,"Eugenius Druwé"
-1.37334173849865,"Sybrandi Braak"
-1.37324173931463,"J. Heyrman"
-1.37316092021389,"J.H. Kramers"
-1.37316090034815,"G.W.J. Bruins"
-1.37314276059101,"A.J. Servaas van Rooijen"
-1.37274560352342,"Augusta de Wit"
-1.37032811857553,"Henri van Booven"
-1.3696966898127,"Nine van der Schaaf"
-1.36900101791397,"P.N. van Eyck"
-1.36711264179692,"Jan de Gruyter"
-1.36453963444296,"Julius Plancquaert"
-1.36440712901141,"W.J.M. Mulder"
-1.3643990862411,"P.H. Greiner"
-1.36439215084453,"Theodoor Jan Stomps"
-1.36436577947788,"H.J.E. Endepols"
-1.35590470374367,"J.A. Eigeman"
-1.35579299763636,"C.H. de Ronde"
-1.35572648698358,"Stephanie Claes-Vetter"
-1.35564595810567,"K.H. Roessingh"
-1.35564556806912,"H.L. van Duyl"
-1.35564549204484,"K. Jansma"
-1.3556454856482,"J.W. Teillers"
-1.3556453574296,"E.D. van Dissel"
-1.35561929869712,"B. Faddegon"
-1.35561929224741,"Tj. Sterringa"
-1.35293309741953,"J.A. Hallez"
-1.35205817924382,"R.C. Boer"
-1.34700270455003,"Oskar Katann"
-1.34700269749595,"Stan Dietvors"
-1.34699315284878,"Gerard Bruning"
-1.34693749906236,"Henriette Geerling"
-1.34692185843597,"Hendrika Ghijsen"
-1.34692182475811,"N.J. Polak"
-1.34690377368993,"J.C. Breen"
-1.34690376745648,"Andrew de Graaf"
-1.34689524582343,"J.B. Schepers"
-1.34689523957095,"G.S. Overdiep"
-1.34572437653652,"Jan Hammenecker"
-1.33918781445518,"Herman de Man"
-1.33838549853479,"L.J. van Holk"
-1.33835824214251,"J.J. ten Berge S.J."
-1.33831961458781,"L.A. Alting Mees"
-1.33829232028962,"Wouter Lutkie"
-1.33829231329971,"Willem Nieuwenhuis"
-1.3382207399967,"Robert van Genechten"
-1.3382207339813,"E.E. Gewin"
-1.33822063743818,"T.J.C. Gerritsen"
-1.33540371298168,"Arnold Lysen"
-1.33460134450308,"A.M. de Jong"
-1.33111351704891,"C. de Boer"
-1.32987194623254,"Hendrik Andriessen"
-1.32982048266969,"C. Ldov"
-1.32965619508392,"Victorinus Groot"
