"coefficient","Author"
-0.392614048838802,"J.H.W. Leliman"
-0.383571605995842,"D.C. Hesseling"
-0.380889928350641,"W.P.J. Pompe"
-0.380499616104247,"Ellen Russe"
-0.371213298438099,"Constant Eeckels"
-0.371211388571982,"Edward B. Koster"
-0.371210943865586,"H. Buringh Boekhoudt"
-0.359205430695628,"Raphaël M.J. Kreemers"
-0.349860656537816,"J. Mansion"
-0.349858888576754,"Eltjo Aldegondus van Beresteyn"
-0.349857869447,"P. Leendertz (jr.)"
-0.348621150330694,"K.H. Heeroma"
-0.338118728676673,"M.R.J. Brinkgreve"
-0.338115906208927,"J.E. van der Laan"
-0.331022170627658,"L. Aletrino"
-0.3284487118855,"Jan L. Walch"
-0.308411261816253,"I.D. du Plessis"
-0.307008638258354,"A.J. de Jong"
-0.307007380347943,"Israël Querido"
-0.306082656577599,"Louis D. Petit"
-0.285717644049719,"J.A.N. Knuttel"
-0.270018066984633,"Leo Simons"
-0.268512088697912,"Julien Jozef Kuypers"
-0.264201489219446,"J.C. Hol"
-0.26420053686446,"Seerp Gratama"
-0.264200407703007,"C. te Lintum"
-0.264200224192763,"J.C.J. Kleijntjens"
-0.264200094858725,"Ivo Cornelis"
-0.252729512097306,"Jan den Tex"
-0.250711959531188,"Michiel Johannes de Goeje"
-0.242830461834245,"H.P.N. Muller"
-0.233262149303076,"P.J. Blok"
-0.221395727297014,"G.C.J. Vosmaer"
-0.221394449655984,"L.L.C.M. van Outhoorn"
-0.221394317096593,"Th.M. Roest van Limburg"
-0.221384403485354,"Henriette Roland Holst-van der Schalk"
-0.22001120572246,"L. Elaut"
-0.20928914805427,"K. Posthumus"
-0.208701101304553,"Louis Couperus"
-0.200000545944833,"J. Verdam"
-0.200000103871206,"J.S. van Veen"
-0.194542348329773,"Harry Mulisch"
-0.178578487665035,"E. W. Holthuysen"
-0.178577192977291,"J.M. van IJssel de Schepper-Becker"
-0.171595291823167,"Hubert Lampo"
-0.164572892745314,"G. Kalff"
-0.16451349752861,"W.C. van Manen"
-0.157174795408555,"H.E. Greve"
-0.157174653169204,"Ant. Averkamp"
-0.145277858720117,"Willem Richard Boer"
-0.145119231020557,"N. de Praetere"
-0.145118424664981,"W. de Weerdt"
-0.145117008446699,"G. Homble"
-0.135874037790661,"Geertruida Carelsen"
-0.135873908725278,"Klaas Heeringa"
-0.135868821855583,"Simon van Brakel"
-0.1144585090908,"M.G. Wildeman"
-0.114458174764934,"Evermar van Moere"
-0.11445635924723,"August Cuppens"
-0.114456025501484,"R. Foncke"
-0.114455265130409,"Lodewijk van Deyssel"
-0.114454068456021,"C.J. Hasselman"
-0.113414023441319,"Pieter Gerard van Schermbeek"
-0.10735280060457,"N. de Paepe"
-0.10213009995393,"Karel Jonckheere"
-0.101578564652874,"J.J.G. Vürtheim"
-0.0929870929193223,"H.M. van Nes"
-0.0929868739690544,"B.J.H. Ovink"
-0.0929866550780533,"Jef Scheirs"
-0.0929861552771951,"Amélie de Man"
-0.0859792710415571,"J.W. Schulte Nordholt"
-0.0809356181353351,"Willem van den Broeck"
-0.0808403961012701,"Ger Harmsen"
-0.0750225012302507,"Max Rooses"
-0.0745521956745791,"Willem Hendrik de Beaufort"
-0.0715990061311282,"Samuel Adrianus Naber"
-0.0715689147955239,"C. Bakker"
-0.0715687872002342,"W. Kuenen"
-0.0715672269086271,"Matthée Corneille Valeton"
-0.0715660605486946,"Marinus Willem de Visser"
-0.0715656993807533,"J. van Oudshoorn"
-0.0715656258644874,"M.H.J. Schoenmaekers"
-0.0715654991443657,"Jan van Nijlen"
-0.0715653724587298,"Victor E. van Vriesland"
-0.0715652458075568,"J. Saks"
-0.0715641232297434,"Edgard Blancquaert"
-0.0679910479925309,"J. Naarding"
-0.0596426658592129,"Fernand Toussaint van Boelaere"
-0.0531223157994117,"A.H. Nijhoff"
-0.0501524460520485,"C.W. van der Pot"
-0.050150845286809,"Lambrecht Lambrechts"
-0.0501507964826972,"Maurits de Meyer"
-0.04886969597373,"J.M. Kramer"
-0.0393813219792053,"C. Ouboter"
-0.0381259056319453,"Eduard Verkade"
-0.038125503855253,"Dirk Schoute"
-0.0361472909947085,"W.G.C. Byvanck"
-0.0288527245661567,"J.J.L. Duyvendak"
-0.0288527084087569,"Teatse Eeltsje Holtrop"
-0.0288475903395492,"C.J.K. van Aalst"
-0.0250618017384872,"Alfred Kossmann"
-0.024511950313683,"M.E. Belpaire"
-0.0214726263864866,"_year"
-0.0189981342686384,"Pierre H. Dubois"
-0.0139412934362897,"Rien T. Segers"
-0.0133195085487804,"Leo Ross"
-0.00735231542541424,"Jozef Muls"
-0.0073508854169485,"Sybold van Ravesteyn"
-0.00735024874826623,"J.W. Teillers"
0,"David Bierens de Haan"
0,"H.J. Schimmel"
0,"H.J. van der Helm"
0,"NA"
0,"Jan Heemskerk Bzn."
0,"Henry Riehm"
0,"Ernst Julius Kiehl"
0,"W.A. van Rees"
0,"Pieter Nicolaas Muller"
0,"F.A.W. Miquel"
0,"Robert Fruin"
0,"J. van Loenen Martinet"
0,"Anton Gerard van Hamel"
0,"A.E.J. Holwerda"
0,"Joh. Dyserinck"
0,"Cornelius Marius Kan"
0,"Johannes Aarnout Loebèr jr."
0,"H.T. Colenbrander"
0,"Ezechiël Slijper"
0,"E. Vliebergh"
0,"Martinus Nijhoff"
0,"Gerth Schreiner"
0,"H.N. Boon"
0,"A.F. Zwaardemaker"
0,"F.G. Scheltema"
0,"Johan Wesseling"
0,"Emiel Fleerackers"
0,"A.A. Verdenius"
0,"Gerlach Royen"
0,"Stephanie Claes-Vetter"
0,"J. Keunen"
0,"Bastiaan Adriaan Pieter van Dam"
0,"Willem van Maanen"
0,"Th.G. Sinnige"
0,"Chris van der Weye"
0,"Annie Romein-Verschoor"
0,"Henk van Kerkwijk"
0,"Adri Laan"
0,"Leo Picard"
0,"C.M. Geerars"
0,"J.R. de Groot"
0,"Pieter A.M. Seuren"
0,"P.Th. Elsinga"
0,"W.A.M. de Vroomen"
0,"E. van der Starre"
