"coefficient","Author"
-0.503063826477528,"Nico Rost"
-0.500953898501381,"Leo Simons"
-0.484754099991785,"J.B. Stolte"
-0.484751958756373,"G.A. Nauta"
-0.484745304080879,"A.J. Schneiders"
-0.48474520211423,"Jeanne de Bruyn"
-0.476558124742631,"Rein Blijstra"
-0.476556753191629,"A. de Meyer"
-0.449705745841788,"W.J. van de Woestijne"
-0.44970572678701,"Fritz Francken"
-0.449398968298812,"Cyriel Buysse"
-0.441859095403021,"W. Vanbeselaere"
-0.441652130939745,"Gerard Reve"
-0.424641140106355,"G. Kazemier"
-0.414607244113063,"J.H. Pluvier"
-0.414606191962626,"A. van Domburg"
-0.41460616459825,"L. Patris"
-0.414604522850781,"Jacques Benoit"
-0.414603320293534,"Günther Müller"
-0.410716408249662,"Leo Apostel"
-0.402071515905624,"J.A. Hallez"
-0.399844351350162,"W.L. Brugsma"
-0.379542752629487,"Cola Debrot"
-0.377085016745295,"P.C. Paardekooper"
-0.370651584921672,"Dop Bles"
-0.355654459975463,"J.C. van Schagen"
-0.346860554748798,"W.M. Ebbink"
-0.344502228534594,"Em. de Deyne"
-0.344499596193689,"Oskar van der Hallen"
-0.344495208081739,"H. Bruders"
-0.340950749992203,"G.A. van Es"
-0.318679585937679,"Ed. Hoornik"
-0.312548178602367,"Oscar Dambre"
-0.310759888110064,"W.J. Hofdijk"
-0.309411332070745,"E.C. Abendanon"
-0.306643956472464,"Bram van der Lek"
-0.305106245881667,"Pertinax"
-0.30203155092104,"Luc Debaene"
-0.282725522733978,"B. van den Berg"
-0.279267682818306,"Harry Mulisch"
-0.278148052600551,"C.F.P. Stutterheim"
-0.275759179163985,"Frank Daen"
-0.274354641883994,"Ben van Eysselsteijn"
-0.274353342359357,"R. Wiarda"
-0.274353328468206,"Reind Kuitert"
-0.274344929534688,"V.E. van Uytvanck"
-0.267131890647899,"G.J. Renes"
-0.250983119513313,"Henk Krijger"
-0.241038251629648,"P.J. Merckens"
-0.239298895845879,"E. de Strycker"
-0.232211906756903,"Jean Paul Sartre"
-0.229405696945152,"D. Elema"
-0.212158035024784,"Derek Phillips"
-0.211540563046337,"Gerlach Royen"
-0.205704498688826,"P. Roosenburg"
-0.204244014452024,"Alb. Raignier"
-0.204242725131454,"J. Volckaert"
-0.204241851628617,"Vital Celen"
-0.192957346603629,"NA"
-0.182732447354745,"R.A. Cornets de Groot"
-0.17176213728153,"A.L.G. Bosboom-Toussaint"
-0.162433101545407,"H. Ravestein"
-0.151389013255695,"Johan Kerstens"
-0.147658435983847,"Eugène van Itterbeek"
-0.145454382029068,"Dirk Coster"
-0.144759143821497,"Victor E. van Vriesland"
-0.134117723782512,"Robert Guiette"
-0.134115102986226,"J. Bogaerts"
-0.1341150625605,"Edouard Dhanis"
-0.133707885462019,"M. Rutten"
-0.125251096712099,"A.M. Meerloo"
-0.112251683076668,"J.H. Plantenga"
-0.0990277608931023,"Filippo Donini"
-0.0926280740100088,"F. van der Kooy"
-0.090488629430791,"Frederik van Eeden"
-0.0863373990338252,"H.J. Pos"
-0.0801033724154589,"Cornelis Rijnsdorp"
-0.0639851726506114,"Gerrit Kamphuis"
-0.0639851350151158,"D. Merlevede"
-0.063985098908899,"R. van Ooteghem"
-0.0639850643047484,"Antoon Fimmers"
-0.0639850297112816,"A.J. Jansen"
-0.0615062734832391,"E.M. Barth"
-0.0558784101068485,"Frederike J. van Uildriks"
-0.0529645282189823,"Ivo Michiels"
-0.0403121018842784,"Ad den Besten"
-0.0399958902755661,"J.J. Wesselo"
-0.03651789951392,"_year"
-0.029139104794786,"Paul de Wispelaere"
-0.0289127659906599,"George Kettmann jr."
-0.0289127269571675,"A. Ampe"
-0.0289127102686559,"W. de Weerdt"
-0.024918523793368,"G.G. Kloeke"
-0.0245261394920685,"Marcel Brauns"
-0.0228408047031514,"Th.G. Sinnige"
-0.0228383613968794,"Jan H. de Groot"
-0.00612500854550876,"R. Blok"
-0.00591867681009698,"Marc Galle"
0,"Jakob Karel Willem Quarles van Ufford"
0,"S. Vissering"
0,"Hendrik Jan Spijker"
0,"J.T. Buys"
0,"Willem Jan Knoop"
0,"Jan Heemskerk Azn."
0,"Joannes Jacobus de Hollander"
0,"Willem Gerard Brill"
0,"J.G.A. Faber"
0,"Johannes Adriaan Molster"
0,"F.M. Cowan"
0,"Henry Riehm"
0,"Isaac Arnold Lamping"
0,"A.L.H. Ising"
0,"Tobias van Westrheene Wzn"
0,"Marinus Lodewijk van Deventer"
0,"E.J.P. Jorissen"
0,"B.H.C.K. van der Wijck"
0,"G.M. Boissevain"
0,"Ernst Julius Kiehl"
0,"H.P.G. Quack"
0,"J.J. Cornelissen"
0,"Hieronymus van Alphen"
0,"D. Huizinga"
0,"W.C. van Manen"
0,"Sybrandus Johannes Fockema Andreae"
0,"Samuel Muller Fzn."
0,"Henricus Oort"
0,"Joh. Dyserinck"
0,"Abraham Seyne Kok"
0,"E.B. Kielstra"
0,"Jozef Simons"
0,"D. Logeman-van der Willigen"
0,"J.P. Lotsy"
0,"Louis D. Petit"
0,"Jan Engelman"
0,"L. Vander Kerken"
0,"Stephanie Claes-Vetter"
0,"Joris Diels"
0,"Fr. de Jong Edz."
0,"Adri Laan"
0,"Hugo Dyserinck"
0,"H. Schultink"
0,"A.P. de Bont"
0,"J. Bernlef"
0,"A.L. Constandse"
0,"Theun de Vries"
0,"S.C. Dik"
0,"Jane Debrot"
0,"Jules Dister"
0,"Lieven Rens"
0,"W. Gobbers"
0,"J. Kamerbeek jr."
0,"S.G. Nooteboom"
0,"D.M. Bakker"
0,"J.P. Willems"
0,"H. Mol"
0,"Claas W. de Kruyter"
0,"Christine D'haen"
0,"Lucienne Stassaert"
0,"Hélène Nolthenius"
0,"P.J. Meertens"
0,"Hendrik Johan Haverman"
0,"Gerrit van Gorkom"
0,"L.E. Visser"
0,"Judith Viorst"
0,"Paul François Hubrecht"
0,"Wouter Donath Tieges"
0,"Marc Groenhuijsen"
0,"Frida Balk-Smit Duyzentkunst"
0,"Jaap Goudsmit"
0,"Cyrille Offermans"
0,"Ron Elshout"
0,"Klaus Siegel"
0,"Carla Rijkenberg"
0,"Ton Naaijkens"
0,"Jacq Firmin Vogelaar"
0,"Irene de Jong"
0,"Ed van der Elsken"
0,"F.G. Droste"
0,"Casper Hakfoort"
0,"Greetje van den Bergh"
0,"Geert van Beek"
0,"Eric Vos"
0,"J.M. van der Horst"
0,"Mieke van Dalen"
0,"Antoine Braet"
0,"Eric Hoekstra"
0,"Jan Nijen Twilhaar"
0,"Siem Bakker"
0,"Kristien Hemmerechts"
0,"Gerard van Eckeren"
0,"Jan Strobbe"
0,"Louis Couperus"
0,"Jules Persyn"
0,"Caesar Gezelle"
0,"A. Kluijver"
0,"D.C. Hesseling"
0,"Margo Scharten-Antink"
0,"A.E. Thierens"
0,"S.J. Warren"
0,"G.A. van den Bergh van Eysinga"
0,"A. Hotz"
0,"Marcellus Emants"
0,"René de Clercq"
0,"A. Taelman"
0,"Dirk van Minden"
0,"Johan Carl Zimmerman"
0,"P.J. Veth"
0,"E.J. Potgieter"
0,"Jan van Gilse"
0,"R.P.A. Dozy"
0,"Nicolas Charles Sieburgh"
0,"A.S. Carpentier Alting"
0,"Frans Erens"
0,"Jan Veth"
0,"J.J.L. Duyvendak"
0,"Julius Plancquaert"
0,"Jérome Alexandre Sillem"
0,"Charles Boissevain"
0,"C.C. Huysmans"
0,"Joël Emanuel Goudsmit"
0,"W.A. Reiger"
0,"Willem Richard Boer"
0,"Cornelis Bellaar Spruyt"
0,"S.J. Hingst"
0,"L.M.J. Glasius"
0,"Bernard Dominicus Hubertus Tellegen"
0,"W. Heineken"
0,"Hendrika Ghijsen"
0,"Karel Vos"
0,"Jan de Gruyter"
0,"A.R. Vincke"
0,"G. Kalff"
0,"G.H. Marius"
0,"H.U. Meyboom"
0,"Gianni Riotta"
0,"Henricus Anastasius Viotta"
0,"H.L. Drucker"
0,"A.A.W. Hubrecht"
0,"A.G.W. Severijnen"
0,"E.J. Dijksterhuis"
0,"Hajo Brugmans"
0,"W.F. Prins"
0,"Stijn Streuvels"
0,"W.H. Staverman"
0,"Maurice Roelants"
0,"Raymond Brulez"
0,"S.M. Noach"
0,"Jörgen Bukdahl"
0,"J.E. Stokvis"
0,"Christel van Boheemen-Saaf"
0,"Ben Sloot"
0,"René van Hezewijk"
0,"Andriëtte M. Stathi-Schoorel"
0,"Dick Molewijk"
0,"M.A. Wes"
0,"Cok van der Voort"
0,"Harry Verschuren"
0,"Rob Wolfs"
0,"Johan van Benthem"
0,"Arie-Jan Gelderblom"
0,"A.M. Duinhoven"
0,"Koen Vermeiren"
0,"Gerrit Jan Zwier"
0,"Norbert Elias"
0,"Wim Huyskens"
0,"R. Sierksma"
0,"Lodewijk Prins"
0,"Ivo Schöffer"
0,"Michel Bartosik"
0,"Monika van Paemel"
0,"Gerard Walschap"
0,"Frans de Haes"
0,"H. van Gorp"
0,"Jan Tinbergen"
0,"Simon Vinkenoog"
0,"J.R. Evenhuis"
0,"Carolijn Visser"
0,"Laurens van Krevelen"
0,"Reinold Widemann"
0,"Luc Dirikx"
0,"Ronald Landheer"
0,"Chantal Keijsper"
0,"Jip Wester"
0,"Pieter Nieuwint"
0,"Toine Hovens"
0,"Ernst van Altena"
0,"A.J.D. van Oosten"
0,"N. van Wijk"
0,"Johannes Reitsma A.Tzn."
0,"Pieter Valkhoff"
0,"Constantinus"
0,"W. Kramer"
0,"H.H.J. Maas"
0,"H.G. Roodhuyzen"
0,"F.P. ter Meulen"
0,"C. Honigh"
0,"A.C. Loffelt"
0,"Jan de Louter"
0,"J.G. Frederiks"
0,"Abraham Dirk Loman"
0,"Willem Pieter Wolters"
0,"P.A. Tiele"
0,"Nicolaas de Roever"
0,"Theo de Jong"
0,"Camiel Hamans"
0,"Paul Goodman"
0,"M.C.A. Brongers"
0,"H.J. Verkuyl"
0,"J.M.W. van Ussel"
0,"Fred Bornstein"
0,"Rudolf Geel"
0,"Ton Anbeek"
0,"J.B. Charles"
0,"Lode Roose"
0,"S. Dresden"
0,"Wilt Idema"
0,"J.J. de Rooij"
0,"Kees Simhoffer"
0,"Mark Insingel"
0,"Tymen Trolsky"
0,"Wilhelmus Nicolaï"
0,"Marie Koenen"
0,"Amado Nervo"
0,"Pol de Mont"
0,"Nicolaas Dirk Doedes"
0,"Robert Fruin"
0,"C.H.H. Spronck"
0,"N.P. van den Berg"
0,"P.W.A. Cort van der Linden"
0,"J.H. Kips"
0,"H. Logeman"
0,"F. de Haan"
0,"W. Vollgraff"
0,"J. Verest"
0,"Thomas Ryetius"
0,"A. Verheyen"
0,"Jaak Boonen"
0,"Omer Karel de Laey"
0,"Thérèse Hoven"
0,"H.P. van den Aardweg"
0,"B.M. Baxter"
0,"Ben Stroman"
0,"Coenraad van Emde Boas"
0,"Friederike Granberg"
0,"M.A.F. Ostendorf"
0,"J.W. Schulte Nordholt"
0,"Guillaume van der Graft"
0,"Jacoba M. Vreugdenhil"
0,"Edward Rombauts"
0,"Pierre Daniel Chantepie de la Saussaye"
0,"J.J.P. Valeton"
0,"A.W. Kroon-Star Numan"
0,"H.L.F. Pisuisse"
0,"Pieter Lodewijk Muller"
0,"Hendrik Hooyer"
0,"Andries Sarlemijn"
0,"Maarten Doorman"
0,"Remco Ekkers"
0,"Gerard de Vries"
0,"G. van Benthem van den Bergh"
0,"J.J. Moerman"
0,"Theo A.J.M. Janssen"
0,"Kees-Jan Backhuys"
0,"Mieke B. Smits-Veldt"
0,"Marcel de Smedt"
0,"Kas Deprez"
0,"E.H. Kossmann"
0,"Isaäc Dornseiffen"
0,"Cd. Busken Huet"
0,"Jan Willem Nicolaas Mosselmans"
0,"P.A.S. van Limburg Brouwer"
0,"P.J.W. Teding van Berkhout"
0,"Hendrik Pierson"
0,"Samuel Adrianus Naber"
0,"Simon Gorter"
0,"D.E.W. Wolff"
0,"W.N. du Rieu"
0,"Albert Helman"
0,"D. Merens"
0,"F.K.H. Kossmann"
0,"Elisabeth Zernike"
0,"Cornelis Veth"
0,"F.H. Fischer"
0,"Oskar Katann"
0,"Jean Améry"
0,"H.C. ten Berge"
0,"Lidy van Marissing"
0,"Peter Hoefnagels"
0,"George Huppert"
0,"Charles Vergeer"
0,"Rita Ghesquiere"
0,"P.F. Schmitz"
0,"Sjaak de Mey"
0,"Gerard Kempen"
0,"J.D.P. Warners"
0,"Tessel Pollmann"
0,"M.A. Schenkeveld-van der Dussen"
0,"Margaretha Meijboom"
0,"J.H. van den Bosch"
0,"A. Dupont"
0,"Constant Eeckels"
0,"Lambrecht Lambrechts"
0,"August Cuppens"
0,"Geertruida Carelsen"
0,"Arnoldus Wilhelmus Stellwagen"
0,"Edward de Grijse"
0,"van der Veur"
0,"H. Bischoff"
0,"Mimosa"
0,"Paolo Gentili"
0,"Fr. Meeus"
0,"Alb. vander Elst"
0,"Max Nord"
0,"Martien J.G. de Jong"
0,"Abram de Swaan"
0,"H.J.A. Hofland"
0,"Klaas Schipper"
0,"Alex Bolckmans"
0,"Clarissa Jacobi"
0,"Marcel Janssens"
0,"J.J. Mak"
0,"Fernand Auwera"
0,"Hugo Brutin"
0,"Stefan Hertmans"
0,"H. de Lange"
0,"Joke Huisman"
0,"Willem G. Weststeijn"
0,"Pascal Tasiaux"
0,"Sandro Briosi"
0,"Ernst van Alphen"
0,"L. Strengholt"
0,"Pierre H. Dubois"
0,"J.H.F. Sollewijn Gelpke"
0,"Victor de Stuers"
0,"Taco H. de Beer"
0,"A.T. Reitsma"
0,"Tijs Terwey"
0,"Daniël Hartevelt"
0,"J. Pijnappel"
0,"Jan Pieter Nicolaas Land"
0,"Joan Karel Hendrik de Roo van Alderwerelt"
0,"Jan Hartog"
0,"Samuël Senior Coronel"
0,"C.M. Vos"
0,"Frederik Christiaan de Brieder"
0,"Margaretha Wijnanda Maclaine Pont"
0,"W.A. van Rees"
0,"Hendrik Clemens Muller"
0,"Jacob Gerard Patijn"
0,"J.D. de Jong"
0,"H.Y. Groenewegen"
0,"Michiel Johannes de Goeje"
