"coefficient","Author"
-0.379073305408822,"E. du Perron"
-0.377410216014345,"J. van Malderen"
-0.377410214909855,"Maurits de Meyer"
-0.377410213805579,"Marinus Willem de Visser"
-0.375452057461038,"L. Seurinck"
-0.374107606271583,"Cyriel Buysse"
-0.373494426368037,"Julius Plancquaert"
-0.369577249823014,"Eliseus Bruning"
-0.369577232843227,"Herman Menagé Challa"
-0.367618805638057,"P.L. van Eck jr."
-0.365660312900516,"Willem Maas"
-0.365660312247723,"Bernard Verhoeven"
-0.365660311595211,"Jeanne de Bruyn"
-0.363701754704105,"F. Bordewijk"
-0.363701754096313,"J.H. Kern"
-0.361743423145131,"G. van Overbeke"
-0.359784426774713,"J.C.M. Warnsinck"
-0.359784426260348,"Albert Verwey"
-0.359784425746288,"H.T. Damsté"
-0.357825966819125,"Douwe Kalma"
-0.3578259455696,"M.J. Langeveld"
-0.357825944520865,"Günther Müller"
-0.35782594347238,"A.S. de Blécourt"
-0.355866721671988,"Elisabeth du Perron-de Roos"
-0.355866720964959,"Jörgen Bukdahl"
-0.353907897779629,"Tine Brinkgreve-Wicherink"
-0.353907897332938,"Ar. Kwink"
-0.35390789688656,"J. van Heugten"
-0.353907896440496,"Léonce Reypens"
-0.353907895994744,"Paul Lebeau"
-0.35194895788659,"G.F.E. Gonggrijp"
-0.351948957220803,"J.I. Corrigan"
-0.351948956555318,"Jan Jozef van Laer"
-0.351948955890135,"Victor E. van Vriesland"
-0.34999024380096,"Boris Raptschinsky"
-0.349043092450806,"Jérome Alexandre Sillem"
-0.348031185201838,"Johannes Reitsma A.Tzn."
-0.348031183116674,"C.K. Elout"
-0.346072606541987,"Jozef Mertens"
-0.346072572056509,"Albe"
-0.344112432973237,"A. Hollenberg"
-0.34411243282017,"Gabriëlle Demedts"
-0.344112432667465,"Elmar Borg"
-0.340193935171569,"G.H. Blanken"
-0.340193934690557,"Ferdinand Langen"
-0.34019393420987,"L. Arts"
-0.340193933729508,"Walter F. Smet"
-0.340193928794913,"August Corbet"
-0.338234295653593,"T.J. Bezemer"
-0.338234295608132,"Stephanus de Clippele"
-0.335272224766313,"Virginie Loveling"
-0.33039591642415,"Frans van Cauwelaert"
-0.330395915460802,"Koos van Doorne"
-0.330395915407234,"R. Hoetink"
-0.330395915354065,"Henri Francois Técoz"
-0.330395915301295,"J.A.F. Wils"
-0.330395915248926,"G.F.W. van Berckel"
-0.32843613873675,"Fr. Nooyens"
-0.328436138607931,"Jan Elzo Niemeijer"
-0.328436138479524,"J. Veerman"
-0.328436138351528,"Liane Bruylants"
-0.328436138223945,"Karel Leroux"
-0.32843613635285,"Aart van der Leeuw"
-0.328436136227721,"Bert Schierbeek"
-0.328436136103006,"Raymond Jouve"
-0.326476302279432,"S. Davids"
-0.326476302029447,"Jef Suys"
-0.324516305878048,"Carl Mennicke"
-0.322556405893421,"A. Wapenaar"
-0.320596376184731,"R. Cointre"
-0.320174192043204,"C.F.P. Stutterheim"
-0.316676023835255,"Elisabeth Augustin"
